ORDER,DISTRICT,CONSTITUENCY,SUB COUNTY,PARISH,STATION,REG VOTERS,ABED  BWANIKA,AMAMA  MBABAZI,BARYAMUREEBA  VENANSIUS,BENON  BUTA BIRAARO,KIZZA  BESIGYE KIFEFE,MABIRIZI  JOSEPH,MAUREEN  FAITH KYALYA WALUUBE,YOWERI  KAGUTA MUSEVENI,VALID VOTES,INVALID VOTES,TOTAL VOTES
2849,009 KABALE,045 NDORWA COUNTY EAST,003 KYANAMIRA,015 KIGATA,01 KANGANZI,843,3,3,13,1,176,0,2,373,571,17,588
2850,009 KABALE,045 NDORWA COUNTY EAST,003 KYANAMIRA,015 KIGATA,02 KYAKAGOYE,499,2,0,2,1,92,0,0,251,348,0,348
2851,009 KABALE,045 NDORWA COUNTY EAST,003 KYANAMIRA,015 KIGATA,03 KAKUMBYA,467,1,3,2,0,122,0,0,251,379,12,391
2852,009 KABALE,045 NDORWA COUNTY EAST,003 KYANAMIRA,015 KIGATA,04 NYAKIGANDO,433,0,7,2,0,124,0,1,212,346,8,354
2853,009 KABALE,045 NDORWA COUNTY EAST,003 KYANAMIRA,016 KYANAMIRA,01 RWABABA PRI SCH,725,0,2,6,0,179,1,2,356,546,0,546
2854,009 KABALE,045 NDORWA COUNTY EAST,003 KYANAMIRA,016 KYANAMIRA,02 KYANAMIRA HQTRS,641,1,3,2,0,177,0,1,263,447,14,461
2855,009 KABALE,045 NDORWA COUNTY EAST,003 KYANAMIRA,016 KYANAMIRA,03 NYAKAHITA II,331,1,2,0,0,58,0,2,184,247,4,251
2856,009 KABALE,045 NDORWA COUNTY EAST,003 KYANAMIRA,016 KYANAMIRA,40 KYANAMIRA,92,0,1,1,0,16,0,0,16,34,0,34
2857,009 KABALE,045 NDORWA COUNTY EAST,003 KYANAMIRA,017 MUYUMBU,01 NYAKIJU CATHOLIC CHURCH,503,2,1,3,2,248,0,1,157,414,7,421
2858,009 KABALE,045 NDORWA COUNTY EAST,003 KYANAMIRA,017 MUYUMBU,02 KABULA TRADING CENTRE,451,0,1,3,0,180,0,1,156,341,3,344
2859,009 KABALE,045 NDORWA COUNTY EAST,003 KYANAMIRA,017 MUYUMBU,03 HAKISHAAHA,631,0,1,3,0,260,0,2,232,498,9,507
2860,009 KABALE,045 NDORWA COUNTY EAST,003 KYANAMIRA,018 NYABUSHABI,01 NYAMWERAMBIKO PRI SCH,785,2,1,0,0,111,0,1,383,498,73,571
2861,009 KABALE,045 NDORWA COUNTY EAST,003 KYANAMIRA,018 NYABUSHABI,02 KARUBANDA,720,0,3,0,0,176,0,1,351,531,25,556
2862,009 KABALE,045 NDORWA COUNTY EAST,003 KYANAMIRA,018 NYABUSHABI,03 KAYORERO PRI SCH,639,0,4,5,0,203,0,0,273,485,10,495
2863,009 KABALE,045 NDORWA COUNTY EAST,003 KYANAMIRA,019 NYAKAGYERA,01 NYAKAGYERA PRI SCH,615,0,10,0,1,142,0,2,302,457,17,474
2864,009 KABALE,045 NDORWA COUNTY EAST,003 KYANAMIRA,019 NYAKAGYERA,02 RWANSHENYIRE CATHOLIC CHURCH,347,0,1,4,1,88,0,0,178,272,12,284
2865,009 KABALE,045 NDORWA COUNTY EAST,004 MAZIBA,020 BIRAMBO,01 BIRAMBO PRI SCH,816,2,2,2,1,61,0,2,545,615,10,625
2866,009 KABALE,045 NDORWA COUNTY EAST,004 MAZIBA,020 BIRAMBO,02 RUSHANDARA MARKET,650,1,5,8,0,97,2,0,385,498,18,516
2867,009 KABALE,045 NDORWA COUNTY EAST,004 MAZIBA,020 BIRAMBO,03 MAZIBA PRI SCH,718,3,3,6,2,135,1,0,396,546,11,557
2868,009 KABALE,045 NDORWA COUNTY EAST,004 MAZIBA,021 KAHONDO,01 KAHONDO,659,1,0,5,1,199,0,0,243,449,0,449
2869,009 KABALE,045 NDORWA COUNTY EAST,004 MAZIBA,021 KAHONDO,02 MBARARA,635,1,4,3,0,177,1,1,314,501,11,512
2870,009 KABALE,045 NDORWA COUNTY EAST,004 MAZIBA,021 KAHONDO,03 NYAMIRIMA,468,0,0,1,0,62,0,0,291,354,29,383
2871,009 KABALE,045 NDORWA COUNTY EAST,004 MAZIBA,022 KARWERU,01 AKATOJO,418,1,2,7,0,86,1,0,241,338,15,353
2872,009 KABALE,045 NDORWA COUNTY EAST,004 MAZIBA,022 KARWERU,02 AKAGANA CATHOLIC CHURCH,275,1,3,2,0,35,1,0,200,242,8,250
2873,009 KABALE,045 NDORWA COUNTY EAST,004 MAZIBA,022 KARWERU,03 AKAGANA PRI SCH,508,0,0,5,0,55,0,0,352,412,25,437
2874,009 KABALE,045 NDORWA COUNTY EAST,004 MAZIBA,023 KAVU,01 RWAKIHAZI TRADING CENTRE,339,0,1,0,0,22,0,1,253,277,3,280
2875,009 KABALE,045 NDORWA COUNTY EAST,004 MAZIBA,023 KAVU,02 KAVU HEALTH CENTRE II,690,1,3,10,0,126,0,2,393,535,15,550
2876,009 KABALE,045 NDORWA COUNTY EAST,004 MAZIBA,023 KAVU,03 OMUNKIRO TRADING CENTRE,571,1,1,3,0,95,1,2,391,494,24,518
2877,009 KABALE,045 NDORWA COUNTY EAST,004 MAZIBA,023 KAVU,04 KAVU PRI SCH,593,1,1,0,1,118,0,2,314,437,16,453
2878,009 KABALE,045 NDORWA COUNTY EAST,004 MAZIBA,024 NYANJA,01 NYANJA,784,3,3,4,2,150,1,1,398,562,12,574
2879,009 KABALE,045 NDORWA COUNTY EAST,004 MAZIBA,024 NYANJA,02 KIGARAMA PRI SCH,610,2,0,13,0,134,0,0,323,472,18,490
2880,009 KABALE,045 NDORWA COUNTY EAST,004 MAZIBA,024 NYANJA,03 KENTALE PRI SCH,306,1,1,4,0,75,1,1,160,243,0,243
2881,009 KABALE,045 NDORWA COUNTY EAST,004 MAZIBA,024 NYANJA,04 KITAMBI,432,1,1,4,0,58,0,1,284,349,19,368
2882,009 KABALE,045 NDORWA COUNTY EAST,004 MAZIBA,025 RUGARAMA,01 MIGYERA,747,2,3,12,1,204,0,1,316,539,30,569
2883,009 KABALE,045 NDORWA COUNTY EAST,004 MAZIBA,025 RUGARAMA,02 RUSIKIZI,448,0,0,3,0,118,0,2,209,332,17,349
2884,009 KABALE,045 NDORWA COUNTY EAST,004 MAZIBA,025 RUGARAMA,03 RWENGYENYI,395,0,0,0,0,92,0,1,221,314,15,329
2885,009 KABALE,045 NDORWA COUNTY EAST,001 KAMUGANGUZI,001 BURANGA,01 RUKARANGA,413,0,0,0,0,99,0,0,205,304,3,307
2886,009 KABALE,045 NDORWA COUNTY EAST,001 KAMUGANGUZI,001 BURANGA,02 KIKOLE,763,2,5,2,1,181,0,0,375,566,21,587
2887,009 KABALE,045 NDORWA COUNTY EAST,001 KAMUGANGUZI,001 BURANGA,03 RUSHEBEYA,271,1,1,1,1,89,1,0,117,211,14,225
2888,009 KABALE,045 NDORWA COUNTY EAST,001 KAMUGANGUZI,002 KASHEREGYENYI,01 BURANGA SEC PLAYGROUND,886,0,5,0,1,144,0,1,453,604,67,671
2889,009 KABALE,045 NDORWA COUNTY EAST,001 KAMUGANGUZI,002 KASHEREGYENYI,02 KASHEREGYENYI PRI SCH,523,1,2,0,1,105,0,0,268,377,7,384
2890,009 KABALE,045 NDORWA COUNTY EAST,001 KAMUGANGUZI,002 KASHEREGYENYI,03 KASHEREGYENYI HEALTH CENTRE II,406,0,2,0,0,92,0,0,198,292,12,304
2891,009 KABALE,045 NDORWA COUNTY EAST,001 KAMUGANGUZI,003 KATENGA,01 KATENGA PRI SCH,831,6,7,1,0,267,3,1,340,625,11,636
2892,009 KABALE,045 NDORWA COUNTY EAST,001 KAMUGANGUZI,003 KATENGA,02 HABUHASHA (A-L),489,1,1,0,3,108,0,0,277,390,3,393
2893,009 KABALE,046 NDORWA COUNTY WEST,001 KAMUGANGUZI,003 KATENGA,03 NYABYUMBA CATHOLIC CHURCH,422,1,1,2,0,95,2,1,263,365,5,370
2894,009 KABALE,046 NDORWA COUNTY WEST,001 KAMUGANGUZI,003 KATENGA,04 HABUHASHA (M-Z),598,2,3,0,0,118,1,0,327,451,3,454
2895,009 KABALE,046 NDORWA COUNTY WEST,001 KAMUGANGUZI,004 KICUMBI,01 KYARUJONDO CATHOLIC CHURCH,641,4,1,0,1,127,0,0,358,491,10,501
2896,009 KABALE,046 NDORWA COUNTY WEST,001 KAMUGANGUZI,004 KICUMBI,02 KICUMBI PRI SCH,769,0,6,2,1,258,0,1,232,500,22,522
2897,009 KABALE,046 NDORWA COUNTY WEST,001 KAMUGANGUZI,004 KICUMBI,03 KACANGARA,676,1,5,2,2,143,0,2,334,489,18,507
2898,009 KABALE,046 NDORWA COUNTY WEST,001 KAMUGANGUZI,005 KISAASA,01 NYACONGA C.O.U,304,0,4,0,0,55,0,0,161,220,6,226
2899,009 KABALE,046 NDORWA COUNTY WEST,001 KAMUGANGUZI,005 KISAASA,02 KISAASA C.O.U,731,2,6,2,1,91,1,1,441,545,26,571
2900,009 KABALE,046 NDORWA COUNTY WEST,001 KAMUGANGUZI,006 KYASANO,01 KYASANO PRI SCH,722,0,6,1,1,48,0,1,489,546,8,554
2901,009 KABALE,046 NDORWA COUNTY WEST,001 KAMUGANGUZI,006 KYASANO,02 BUTUUZA PLAYGROUND,377,0,2,1,0,38,0,0,241,282,8,290
2902,009 KABALE,046 NDORWA COUNTY WEST,001 KAMUGANGUZI,007 MAYENGO,01 AHEITABA,647,2,11,4,0,140,0,1,338,496,22,518
2903,009 KABALE,046 NDORWA COUNTY WEST,001 KAMUGANGUZI,007 MAYENGO,02 BUNAGANA PRI SCH,549,1,5,3,0,123,0,2,292,426,8,434
2904,009 KABALE,046 NDORWA COUNTY WEST,002 KITUMBA,008 BUKORA,01 KANYANKWAZI PLAYGROUND,606,0,3,2,1,183,1,0,293,483,6,489
2905,009 KABALE,046 NDORWA COUNTY WEST,002 KITUMBA,008 BUKORA,02 RWAKANYWEIRE JUNCTION,811,4,4,3,1,167,1,0,372,552,26,578
2906,009 KABALE,046 NDORWA COUNTY WEST,002 KITUMBA,008 BUKORA,03 HAMUGANDA CHURCH GROUNDS,819,1,0,0,1,106,1,0,269,378,22,400
2907,009 KABALE,046 NDORWA COUNTY WEST,002 KITUMBA,008 BUKORA,04 KABIRA,731,5,4,1,2,122,0,0,438,572,12,584
2908,009 KABALE,046 NDORWA COUNTY WEST,002 KITUMBA,009 BUSHURO,01 MUTOJO PLAYGROUND,493,2,4,0,1,146,0,0,214,367,14,381
2909,009 KABALE,046 NDORWA COUNTY WEST,002 KITUMBA,009 BUSHURO,02 KABINDI,756,2,2,2,1,230,1,0,330,568,9,577
2910,009 KABALE,046 NDORWA COUNTY WEST,002 KITUMBA,009 BUSHURO,03 BUTURWAGYE C.O.U PLAYGROUND,688,0,10,1,1,169,0,0,310,491,25,516
2911,009 KABALE,046 NDORWA COUNTY WEST,002 KITUMBA,009 BUSHURO,04 NKOMBE PLAYGROUND,653,1,2,2,7,200,0,0,253,465,5,470
2912,009 KABALE,046 NDORWA COUNTY WEST,002 KITUMBA,010 BWAMA ISLAND,01 BWAMA ISLAND,101,0,4,0,0,18,0,0,40,62,2,64
2913,009 KABALE,046 NDORWA COUNTY WEST,002 KITUMBA,011 KITUMBA,01 KINIOGO PRI SCH,892,1,6,0,2,291,0,1,356,657,11,668
2914,009 KABALE,046 NDORWA COUNTY WEST,002 KITUMBA,011 KITUMBA,02 RUNYANJOKA C.O.U,426,1,1,0,0,109,0,0,195,306,9,315
2915,009 KABALE,046 NDORWA COUNTY WEST,002 KITUMBA,012 MWENDO,01 MWIRANGIZO,682,0,3,0,0,212,0,1,301,517,10,527
2916,009 KABALE,046 NDORWA COUNTY WEST,002 KITUMBA,012 MWENDO,02 MUTAABA,719,2,2,1,2,175,0,1,361,544,11,555
2917,009 KABALE,046 NDORWA COUNTY WEST,002 KITUMBA,012 MWENDO,03 BUFUKA C.O.U,531,2,1,1,1,111,0,1,286,403,7,410
2918,009 KABALE,046 NDORWA COUNTY WEST,002 KITUMBA,012 MWENDO,04 KAKOOMO PRI SCH,500,1,2,1,0,97,0,0,295,396,2,398
2919,009 KABALE,046 NDORWA COUNTY WEST,002 KITUMBA,012 MWENDO,05 KARUJABURA,349,0,0,1,1,146,0,0,127,275,4,279
2920,009 KABALE,046 NDORWA COUNTY WEST,002 KITUMBA,012 MWENDO,06 NYAMBUGU PRI SCH,443,1,3,1,0,108,0,0,231,344,4,348
2921,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,014 BURAMBA,01 RWANGANIRO,554,1,1,1,1,127,0,0,288,419,4,423
2922,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,014 BURAMBA,02 NYAMUHOMBORI,742,4,2,4,1,177,1,0,416,605,14,619
2923,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,014 BURAMBA,03 RWEMIHANGA,784,4,1,8,0,116,0,0,340,469,18,487
2924,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,014 BURAMBA,04 MUHENVU,194,0,0,0,0,52,0,0,109,161,5,166
2925,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,016 KARUJANGA,01 KARUJANGA CATHOLIC CHURCH,694,0,3,1,1,183,0,0,297,485,14,499
2926,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,016 KARUJANGA,02 KARUJANGA HEALTH CENTRE II,321,0,0,1,1,76,0,0,135,213,6,219
2927,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,016 KARUJANGA,03 NYINARUSHENGYE PLAYGROUND,729,2,3,1,0,217,0,0,303,526,15,541
2928,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,016 KARUJANGA,04 KISIBO PLAYGROUND,605,2,1,0,1,134,0,0,307,445,10,455
2929,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,017 KIBUGA,01 KIBUGA PRI SCH,604,0,4,0,2,117,0,0,303,426,7,433
2930,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,017 KIBUGA,02 RWAZA PRI SCH,658,3,2,0,0,211,0,0,257,473,1,474
2931,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,017 KIBUGA,03 KIBUGA PARISH HQTRS,326,0,6,0,2,61,0,0,164,233,4,237
2932,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,017 KIBUGA,04 RUTARE PRI SCH,634,1,2,2,1,97,0,1,368,472,6,478
2933,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,018 KITOOMA,01 RWABIHINDU,742,3,4,6,1,136,1,0,364,515,0,515
2934,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,018 KITOOMA,02 NYABIGORE PLAYGROUND,670,0,5,0,0,87,1,1,395,489,8,497
2935,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,018 KITOOMA,03 BUTENGA C.O.U,473,2,2,1,0,61,1,2,266,335,13,348
2936,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,019 MUGANDU,01 NYAKITOKORI,821,1,8,2,0,185,0,0,432,628,15,643
2937,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,019 MUGANDU,02 RUKORE,531,2,1,2,0,140,0,0,277,422,5,427
2938,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,019 MUGANDU,03 KIGARAMA,621,1,3,0,0,79,1,0,427,511,6,517
2939,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,019 MUGANDU,04 RYAKARIMIRA MARKET,401,0,13,0,0,100,0,1,220,334,0,334
2940,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,020 RWANYENA,01 KABIRAGO,894,1,3,3,1,132,2,0,510,652,27,679
2941,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,020 RWANYENA,02 MUSAMBA PITCH,675,1,2,0,0,117,0,0,393,513,7,520
2942,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,020 RWANYENA,03 RWANYENA PRI SCH,834,0,1,0,0,124,1,0,501,627,38,665
2943,009 KABALE,046 NDORWA COUNTY WEST,003 RUBAYA,020 RWANYENA,04 AHAMURAMBO TRADING CENTRE,599,1,2,2,0,94,0,1,373,473,8,481
2944,009 KABALE,046 NDORWA COUNTY WEST,004 BUTANDA,013 BIGAAGA,01 KASUMO,878,2,7,4,2,228,0,0,413,656,14,670
2945,009 KABALE,046 NDORWA COUNTY WEST,004 BUTANDA,013 BIGAAGA,02 MURANDAMO,319,1,3,1,0,128,0,0,182,315,0,315
2946,009 KABALE,046 NDORWA COUNTY WEST,004 BUTANDA,013 BIGAAGA,03 KAGOGO,789,0,0,1,0,176,2,0,390,569,3,572
2947,009 KABALE,046 NDORWA COUNTY WEST,004 BUTANDA,013 BIGAAGA,04 NYINABIRERE,306,0,1,2,0,63,0,1,154,221,8,229
2948,009 KABALE,046 NDORWA COUNTY WEST,004 BUTANDA,013 BIGAAGA,05 KABERE,425,0,0,0,0,35,0,0,272,307,42,349
2949,009 KABALE,046 NDORWA COUNTY WEST,004 BUTANDA,015 KAHUNGYE,01 RWENKORONGO,624,0,2,3,0,172,0,0,291,468,5,473
2950,009 KABALE,046 NDORWA COUNTY WEST,004 BUTANDA,015 KAHUNGYE,02 KINYAMI,719,2,2,1,3,175,2,2,344,531,13,544
2951,009 KABALE,046 NDORWA COUNTY WEST,004 BUTANDA,015 KAHUNGYE,03 NYAKAHANDA,507,1,1,3,0,125,0,0,251,381,11,392
2952,009 KABALE,046 NDORWA COUNTY WEST,004 BUTANDA,021 BUTANDA,01 KINYAMARI PRI SCH,598,2,5,2,0,158,0,0,237,404,24,428
2953,009 KABALE,046 NDORWA COUNTY WEST,004 BUTANDA,021 BUTANDA,02 KEKUUBO MARKET,580,6,8,3,0,176,0,1,229,423,7,430
2954,009 KABALE,046 NDORWA COUNTY WEST,004 BUTANDA,021 BUTANDA,03 BUTANDA PRI SCH,374,2,1,1,1,83,0,0,174,262,8,270
2955,009 KABALE,046 NDORWA COUNTY WEST,004 BUTANDA,021 BUTANDA,04 RWANCERERE PRI SCH,452,1,3,0,0,108,0,0,196,308,0,308
2956,009 KABALE,046 NDORWA COUNTY WEST,004 BUTANDA,021 BUTANDA,05 KABAYA PRI SCH,500,5,4,2,2,121,1,0,273,408,3,411
2957,009 KABALE,046 NDORWA COUNTY WEST,004 BUTANDA,022 NYAMIRYANGO,01 KAGOROGORO PRI SCH,581,1,1,3,1,83,0,0,343,432,3,435
2958,009 KABALE,046 NDORWA COUNTY WEST,004 BUTANDA,022 NYAMIRYANGO,02 KYEVU MARKET,378,0,2,0,0,48,0,0,243,293,2,295
2959,009 KABALE,046 NDORWA COUNTY WEST,004 BUTANDA,022 NYAMIRYANGO,03 HANTUURO,341,1,0,0,0,71,0,0,169,241,1,242
2960,009 KABALE,046 NDORWA COUNTY WEST,004 BUTANDA,022 NYAMIRYANGO,04 KAGOMA PLAYGROUND,438,1,0,0,0,42,1,0,274,318,15,333
2961,009 KABALE,046 NDORWA COUNTY WEST,004 BUTANDA,022 NYAMIRYANGO,05 RUTOJO PRI SCH,377,2,5,0,0,111,0,1,180,299,6,305
2962,009 KABALE,046 NDORWA COUNTY WEST,005 KATUNA TOWN COUNCIL,023 KACERERE WARD,01 KAMUGANGUZI HEALTH CENTRE III,565,1,3,1,0,77,0,0,310,392,14,406
2963,009 KABALE,046 NDORWA COUNTY WEST,005 KATUNA TOWN COUNCIL,023 KACERERE WARD,02 KAMUGANGUZI JANAN LUWUM SEC SCH,471,0,3,3,1,101,1,1,234,344,10,354
2964,009 KABALE,046 NDORWA COUNTY WEST,005 KATUNA TOWN COUNCIL,024 KINIOGO WARD,01 AHAKOBUKYERE,449,0,7,1,1,91,0,0,253,353,5,358
2965,009 KABALE,046 NDORWA COUNTY WEST,005 KATUNA TOWN COUNCIL,024 KINIOGO WARD,02 MAYENGO PRI SCH,586,0,3,1,0,134,0,1,263,402,6,408
2966,009 KABALE,046 NDORWA COUNTY WEST,005 KATUNA TOWN COUNCIL,025 KYONYO WARD,01 KABALIISA TRADING CENTRE,451,1,7,0,0,123,0,0,211,342,10,352
2967,009 KABALE,046 NDORWA COUNTY WEST,005 KATUNA TOWN COUNCIL,025 KYONYO WARD,02 KAMUGANGUZI PRI SCH,295,0,1,3,0,61,0,0,170,235,8,243
2968,009 KABALE,046 NDORWA COUNTY WEST,005 KATUNA TOWN COUNCIL,026 MUKARANGYE WARD,01 MUKARANGYE PLAYGROUND,696,0,1,0,0,164,1,0,358,524,6,530
2969,009 KABALE,046 NDORWA COUNTY WEST,005 KATUNA TOWN COUNCIL,026 MUKARANGYE WARD,02 RWEMIHANGA,740,0,5,1,0,108,0,0,465,579,2,581
2970,009 KABALE,046 NDORWA COUNTY WEST,005 KATUNA TOWN COUNCIL,027 NYINAMURONZI WARD,01 KARUJANGA PLAYGROUND,586,1,4,1,0,170,0,0,263,439,11,450
2971,009 KABALE,046 NDORWA COUNTY WEST,001 BUBARE,001 BUBARE,01 BUBARE GOMBORORA HQTRS,844,0,9,0,2,230,1,1,299,542,7,549
2972,009 KABALE,046 NDORWA COUNTY WEST,001 BUBARE,001 BUBARE,02 KITAGYENDA PRI SCH,552,1,3,3,2,151,0,1,268,429,8,437
2973,009 KABALE,046 NDORWA COUNTY WEST,001 BUBARE,001 BUBARE,03 NGASIIRE,241,0,0,1,1,42,0,1,123,168,12,180
2974,009 KABALE,046 NDORWA COUNTY WEST,001 BUBARE,002 IHANGA,01 MUCHACHI PRI SCH,271,0,0,0,0,93,0,0,119,212,8,220
2975,009 KABALE,046 NDORWA COUNTY WEST,001 BUBARE,002 IHANGA,02 IHANGA MARKET,916,1,2,0,0,202,1,1,458,665,18,683
2976,009 KABALE,046 NDORWA COUNTY WEST,001 BUBARE,002 IHANGA,05 HAKABUNGO,238,2,3,2,0,63,0,0,121,191,6,197
2977,009 KABALE,046 NDORWA COUNTY WEST,001 BUBARE,004 KAGARAMA,01 BUSHATO,391,0,0,2,0,122,0,2,180,306,6,312
2978,009 KABALE,046 NDORWA COUNTY WEST,001 BUBARE,004 KAGARAMA,02 HABUTIKI,601,1,4,1,2,186,1,0,289,484,10,494
2979,009 KABALE,046 NDORWA COUNTY WEST,001 BUBARE,004 KAGARAMA,03 HAMURAMBI,387,1,2,0,0,94,0,0,143,240,9,249
2980,009 KABALE,046 NDORWA COUNTY WEST,001 BUBARE,004 KAGARAMA,04 RWENGWE,684,1,2,2,2,139,1,0,369,516,2,518
2981,009 KABALE,046 NDORWA COUNTY WEST,001 BUBARE,004 KAGARAMA,08 RUBONA PRI SCH,766,0,6,2,3,163,1,2,387,564,18,582
2982,009 KABALE,047 RUBANDA COUNTY EAST,001 BUBARE,005 KASHENYI,01 RUTOOMA,556,1,3,1,1,143,0,0,272,421,11,432
2983,009 KABALE,047 RUBANDA COUNTY EAST,001 BUBARE,005 KASHENYI,02 RUGARAMBIRO,699,4,4,2,0,106,0,0,398,514,5,519
2984,009 KABALE,047 RUBANDA COUNTY EAST,001 BUBARE,005 KASHENYI,03 NYAMIRINGA PRI SCH,727,6,3,0,1,132,0,0,387,529,0,529
2985,009 KABALE,047 RUBANDA COUNTY EAST,001 BUBARE,006 MUYANJE,01 RWERE PRI SCH GROUNDS (A - M),717,1,5,0,1,188,0,0,312,507,18,525
2986,009 KABALE,047 RUBANDA COUNTY EAST,001 BUBARE,006 MUYANJE,02 KAZINIRO CENTRE,826,2,2,0,1,188,1,0,298,492,17,509
2987,009 KABALE,047 RUBANDA COUNTY EAST,001 BUBARE,006 MUYANJE,03 RWERE PRI SCH GROUNDS (N - Z),251,0,8,0,0,65,0,0,121,194,1,195
2988,009 KABALE,047 RUBANDA COUNTY EAST,001 BUBARE,008 NYAMIYAGA,01 KASHAKI PRI SCH,871,2,4,0,2,321,0,2,295,626,22,648
2989,009 KABALE,047 RUBANDA COUNTY EAST,001 BUBARE,008 NYAMIYAGA,02 NYAMIYAGA PRI SCH,814,1,3,1,1,215,1,1,348,571,20,591
2990,009 KABALE,047 RUBANDA COUNTY EAST,001 BUBARE,008 NYAMIYAGA,03 AHAKICWAMBA,295,0,4,1,0,99,2,0,128,234,7,241
2991,009 KABALE,047 RUBANDA COUNTY EAST,001 BUBARE,008 NYAMIYAGA,04 KASHAKI C.O.U,296,0,0,3,1,87,0,1,129,221,14,235
2992,009 KABALE,047 RUBANDA COUNTY EAST,001 BUBARE,019 BUSHUURA,01 KATARAGA PRI SCH (A-L),514,3,4,0,0,125,0,2,267,401,24,425
2993,009 KABALE,047 RUBANDA COUNTY EAST,001 BUBARE,019 BUSHUURA,02 KABERE C.O.U,212,0,1,0,0,30,1,0,147,179,0,179
2994,009 KABALE,047 RUBANDA COUNTY EAST,001 BUBARE,019 BUSHUURA,03 BUSHURA PRI SCH,847,3,5,4,0,228,0,0,396,636,15,651
2995,009 KABALE,047 RUBANDA COUNTY EAST,001 BUBARE,019 BUSHUURA,04 KATARAGA PRI SCH (M-Z),453,1,2,3,0,94,1,0,274,375,1,376
2996,009 KABALE,047 RUBANDA COUNTY EAST,001 BUBARE,023 KIBUZIGYE,01 KIBUZIGYE PRI SCH,747,7,7,4,1,222,2,3,365,611,7,618
2997,009 KABALE,047 RUBANDA COUNTY EAST,001 BUBARE,023 KIBUZIGYE,02 KIBUZIGYE C.O.U,692,4,3,1,1,105,0,0,441,555,4,559
2998,009 KABALE,047 RUBANDA COUNTY EAST,001 BUBARE,023 KIBUZIGYE,03 KIBUZIGYE CATHOLIC CHURCH,430,4,1,2,2,77,0,0,245,331,13,344
2999,009 KABALE,047 RUBANDA COUNTY EAST,001 BUBARE,024 KITOJO,01 BUREMBO,310,2,2,0,1,122,0,0,113,240,4,244
3000,009 KABALE,047 RUBANDA COUNTY EAST,001 BUBARE,024 KITOJO,02 KARANDAGASI,712,1,2,3,0,94,1,0,274,375,1,376
3001,009 KABALE,047 RUBANDA COUNTY EAST,001 BUBARE,024 KITOJO,03 MURAMBO,644,2,5,2,0,225,0,0,226,460,9,469
3002,009 KABALE,047 RUBANDA COUNTY EAST,001 BUBARE,024 KITOJO,04 HAKEMBEHO PLAYGROUND,421,3,6,0,0,186,1,0,108,304,9,313
3003,009 KABALE,047 RUBANDA COUNTY EAST,002 HAMURWA,010 IGOMANDA,01 HAMUKO,862,4,6,1,0,223,0,0,448,682,9,691
3004,009 KABALE,047 RUBANDA COUNTY EAST,002 HAMURWA,010 IGOMANDA,02 KASHEKYERA,715,2,2,1,0,275,1,1,240,522,6,528
3005,009 KABALE,047 RUBANDA COUNTY EAST,002 HAMURWA,010 IGOMANDA,03 KAZAHAMUGYERA,756,5,0,3,0,170,1,1,385,565,11,576
3006,009 KABALE,047 RUBANDA COUNTY EAST,002 HAMURWA,010 IGOMANDA,04 HABUBARE,438,1,5,2,0,149,2,1,202,362,9,371
3007,009 KABALE,047 RUBANDA COUNTY EAST,002 HAMURWA,011 KAKORE,01 RWAMUGURA,849,3,0,3,1,182,0,0,376,565,10,575
3008,009 KABALE,047 RUBANDA COUNTY EAST,002 HAMURWA,011 KAKORE,02 RUGARAMA,800,2,3,0,2,229,3,0,373,612,13,625
3009,009 KABALE,047 RUBANDA COUNTY EAST,002 HAMURWA,011 KAKORE,03 KABIHIJO,625,2,2,3,0,170,1,1,283,462,15,477
3010,009 KABALE,047 RUBANDA COUNTY EAST,002 HAMURWA,012 MPUNGU,01 BUGARAMA PRI SCH,768,3,1,2,1,207,0,1,396,611,7,618
3011,009 KABALE,047 RUBANDA COUNTY EAST,002 HAMURWA,012 MPUNGU,02 KABURARA PRI SCH,475,0,6,2,0,78,0,1,255,342,11,353
